record_id,step_0,step_1,step_2,step_3
1823,309.0,3332,2556,1733.0
2392,310.0,4023,1900,614.0
1906,311.0,4807,1293,1769.0
1908,312.0,2393,2070,646.0
2640,313.0,669,4351,2423.0
2163,314.0,3764,1658,1100.0
2472,315.0,3754,3696,425.0
589,316.0,4131,4822,2268.0
2493,317.0,3981,1454,13.0
407,318.0,4193,2016,1867.0
1449,319.0,900,3832,1768.0
1547,320.0,4313,4098,113.0
1991,321.0,3782,4566,2490.0
960,322.0,3358,4722,742.0
1586,323.0,3014,3607,2870.0
430,324.0,3500,3789,2060.0
425,325.0,1026,565,1723.0
444,326.0,1486,338,2605.0
927,327.0,4351,3667,2054.0
2661,328.0,3857,2230,1074.0
581,329.0,1844,4863,1900.0
219,330.0,87,1654,2389.0
1143,331.0,358,1396,1757.0
1485,332.0,1406,4819,1684.0
108,333.0,1002,4770,1368.0
2491,334.0,3176,4681,2001.0
2738,335.0,3786,4668,2686.0
446,336.0,2502,2660,606.0
323,337.0,1858,2568,175.0
2808,338.0,3580,990,2030.0
2241,339.0,1033,3798,680.0
995,340.0,3036,3683,2301.0
2543,341.0,4094,4518,1425.0
1838,342.0,3809,2484,2113.0
2838,343.0,980,4418,314.0
2845,344.0,4545,145,245.0
2754,345.0,1410,2934,2542.0
809,346.0,4236,3290,2657.0
617,347.0,1231,871,2724.0
1900,348.0,3478,1032,692.0
200,349.0,3917,16,1820.0
2778,350.0,2210,1159,861.0
887,351.0,3677,4265,2805.0
665,352.0,1674,717,1478.0
1920,353.0,4727,2195,352.0
106,354.0,4115,1458,816.0
968,355.0,80,2598,2449.0
2028,356.0,1834,2830,358.0
890,357.0,1678,659,1898.0
871,358.0,3685,797,1863.0
2794,359.0,624,3923,320.0
1399,360.0,1798,166,74.0
1965,361.0,4446,4133,1096.0
2062,362.0,4352,2077,2293.0
928,363.0,4311,2513,1788.0
1594,364.0,33,438,1327.0
1257,365.0,4149,2453,247.0
838,366.0,2450,3284,2648.0
206,367.0,3907,1943,725.0
2582,368.0,1221,845,1187.0
25,369.0,189,1500,1878.0
601,370.0,112,2955,630.0
2262,371.0,2232,3446,1195.0
152,372.0,3654,1634,1367.0
1353,373.0,3701,1788,2759.0
949,374.0,3959,2030,609.0
394,375.0,1990,2374,856.0
2425,376.0,2970,2867,2568.0
1515,377.0,2512,662,1725.0
786,378.0,4401,1941,2749.0
58,379.0,2263,4614,350.0
291,380.0,713,1985,2776.0
2676,381.0,962,2042,481.0
1612,382.0,2411,1165,94.0
2438,383.0,1595,2618,517.0
893,384.0,4333,877,1608.0
1484,385.0,1689,201,2049.0
1138,386.0,2655,4150,2866.0
67,387.0,2944,253,1914.0
733,388.0,1902,3695,2784.0
1721,389.0,1784,1133,2027.0
996,390.0,312,4117,313.0
1297,391.0,3019,2958,2580.0
2685,392.0,1085,55,101.0
553,393.0,3276,557,2036.0
2613,394.0,2169,4841,2000.0
1450,395.0,4303,3839,2721.0
1298,396.0,536,3763,218.0
1068,397.0,4229,2449,1780.0
464,398.0,3262,3469,1835.0
1193,399.0,3960,4272,525.0
2559,400.0,3731,1105,1037.0
1856,401.0,1893,4836,1373.0
1744,402.0,635,776,1173.0
1037,403.0,2628,4143,1176.0
1135,404.0,2190,339,321.0
2770,405.0,3197,1989,1315.0
393,406.0,1572,3870,2396.0
1932,407.0,3179,3362,311.0
1864,408.0,4191,428,653.0
401,409.0,4829,4638,1888.0
2015,410.0,1985,2189,2341.0
26,411.0,3537,229,1388.0
1936,412.0,1313,1621,259.0
2735,413.0,902,3943,360.0
1239,414.0,1872,1213,230.0
755,415.0,3913,2144,2071.0
906,416.0,1187,630,1212.0
2128,417.0,2129,2267,51.0
1211,418.0,4812,3892,992.0
55,419.0,853,3623,2158.0
1443,420.0,1495,85,2806.0
2119,421.0,4496,501,2117.0
2515,422.0,2778,3966,2191.0
912,423.0,860,1680,850.0
1115,424.0,1980,4233,2180.0
2859,425.0,952,140,1633.0
2737,426.0,2621,3743,715.0
1847,427.0,1322,4063,704.0
378,428.0,1078,2315,2474.0
2314,429.0,1532,1179,2033.0
635,430.0,675,4641,304.0
1933,431.0,645,2311,471.0
623,432.0,3530,2858,2026.0
2269,433.0,1752,3492,493.0
1747,434.0,2158,3585,544.0
1014,435.0,579,604,512.0
1830,436.0,2176,49,2747.0
2417,437.0,971,3528,1589.0
1849,438.0,1933,1607,2241.0
474,439.0,39,936,1971.0
307,440.0,3851,2501,822.0
1768,441.0,3880,3898,1970.0
2534,442.0,4033,1791,1352.0
2830,443.0,981,4703,448.0
2032,444.0,3175,1635,750.0
242,445.0,2927,810,1033.0
1897,446.0,3606,1054,2136.0
2340,447.0,2865,4424,2594.0
174,448.0,1649,3663,301.0
1153,449.0,1597,1888,2006.0
825,450.0,2186,2715,1931.0
1625,451.0,4455,2427,2597.0
810,452.0,496,8,2476.0
1185,453.0,3051,280,572.0
1343,454.0,2025,1609,1637.0
2585,455.0,1795,3559,55.0
989,456.0,2646,4085,2439.0
431,457.0,4257,2522,2434.0
315,458.0,2268,2897,1638.0
2377,459.0,2855,1919,1833.0
1989,460.0,1639,3731,418.0
209,461.0,1931,4305,846.0
919,462.0,2299,380,1311.0
224,463.0,3464,3770,1595.0
1300,464.0,441,1995,1790.0
2812,465.0,2662,1237,679.0
1534,466.0,4083,3749,2477.0
598,467.0,1583,1531,2833.0
362,468.0,886,817,986.0
1869,469.0,4760,2570,801.0
1346,470.0,4034,3291,183.0
1254,471.0,4548,1627,1816.0
531,472.0,1576,3070,86.0
881,473.0,1079,1022,1891.0
2477,474.0,394,2239,1427.0
2074,475.0,1479,4444,2816.0
33,476.0,3171,423,150.0
1530,477.0,1427,9,180.0
2019,478.0,3192,2606,1545.0
655,479.0,3153,1026,2299.0
2655,480.0,3145,4103,368.0
1690,481.0,1357,2518,1899.0
1368,482.0,628,2105,2753.0
524,483.0,322,1493,310.0
458,484.0,418,126,1324.0
2171,485.0,1938,2636,870.0
2056,486.0,2989,989,1378.0
2309,487.0,1970,2196,821.0
2497,488.0,618,2347,1624.0
1333,489.0,4411,1574,143.0
1001,490.0,2110,1379,514.0
1676,491.0,3178,363,1741.0
287,492.0,1137,1762,1976.0
1417,493.0,2958,357,1122.0
2147,494.0,509,761,2413.0
2213,495.0,3521,4806,2141.0
1395,496.0,4295,4416,2121.0
2686,497.0,2429,3248,1397.0
1685,498.0,1269,3524,2447.0
436,499.0,1308,1407,1759.0
488,500.0,1998,660,2129.0
1860,501.0,1382,2310,828.0
1383,502.0,2719,1052,1693.0
2420,503.0,685,2726,439.0
862,504.0,3938,4450,169.0
59,505.0,4056,3773,1287.0
89,506.0,2234,1933,1909.0
716,507.0,4685,2972,378.0
1615,508.0,1962,942,853.0
1089,509.0,266,2441,612.0
2813,510.0,847,1070,1754.0
1841,511.0,4533,355,2019.0
2699,512.0,4750,4538,1506.0
166,513.0,2181,1878,1075.0
2109,514.0,237,3786,1831.0
300,515.0,2681,3566,676.0
771,516.0,462,3738,2105.0
1875,517.0,199,569,2064.0
1871,518.0,3565,2209,2478.0
2331,519.0,3621,414,9.0
2006,520.0,4150,1885,2599.0
882,521.0,824,2032,991.0
980,522.0,1195,712,1993.0
515,523.0,4266,424,1987.0
941,524.0,2668,3233,766.0
8,525.0,2920,3419,899.0
69,526.0,1450,4094,1811.0
2626,527.0,2782,1593,1962.0
482,528.0,2929,3023,2798.0
1407,529.0,1512,4370,1001.0
402,530.0,3280,4380,1872.0
1076,531.0,3341,347,597.0
867,532.0,3066,3866,1737.0
330,533.0,2525,4619,2057.0
1865,534.0,2832,2496,204.0
2443,535.0,2527,4674,1775.0
1546,536.0,998,1585,1464.0
829,537.0,903,2162,419.0
2252,538.0,1688,3178,1613.0
18,539.0,4298,2516,2518.0
2795,540.0,638,2106,1466.0
911,541.0,908,3274,18.0
1751,542.0,94,2835,951.0
1029,543.0,3017,4599,411.0
194,544.0,455,35,2526.0
1330,545.0,15,4456,2224.0
2411,546.0,1619,2728,2796.0
2564,547.0,415,2748,1518.0
53,548.0,93,4003,69.0
74,549.0,1648,1584,443.0
2605,550.0,930,4433,2398.0
562,551.0,660,493,545.0
1379,552.0,297,2095,38.0
2447,553.0,270,2320,2562.0
2716,554.0,1615,3895,1526.0
2326,555.0,2448,3137,2211.0
1501,556.0,1328,981,2845.0
1418,557.0,1668,2103,1955.0
171,558.0,959,1947,450.0
2050,559.0,227,0,388.0
1919,560.0,3070,3434,1091.0
2290,561.0,2458,4394,2432.0
1681,562.0,4845,4557,670.0
938,563.0,742,2572,1644.0
263,564.0,1941,511,883.0
83,565.0,2897,1893,711.0
2298,566.0,3374,1647,2142.0
2565,567.0,4154,4737,1974.0
1999,568.0,3743,857,2742.0
1753,569.0,3523,4222,1978.0
2526,570.0,3156,2788,699.0
1453,571.0,3942,1463,1063.0
549,572.0,3783,3448,2777.0
1238,573.0,4831,2720,2008.0
1003,574.0,1110,4817,1547.0
2058,575.0,3472,36,964.0
816,576.0,3285,4274,1659.0
1294,577.0,4197,1412,523.0
2470,578.0,428,1172,2173.0
195,579.0,732,3537,2387.0
1286,580.0,3817,4749,622.0
1504,581.0,275,1240,1390.0
2048,582.0,4280,2882,1083.0
433,583.0,4475,2935,1288.0
1736,584.0,1324,1988,1221.0
978,585.0,941,1618,255.0
1148,586.0,481,741,1262.0
2767,587.0,4781,1206,367.0
2457,588.0,2264,1490,2176.0
2418,589.0,4698,2792,2852.0
1702,590.0,1675,3356,329.0
1005,591.0,1694,3303,945.0
611,592.0,925,700,1270.0
1683,593.0,3813,504,239.0
1226,594.0,3230,696,2187.0
2273,595.0,1092,2206,2023.0
2776,596.0,843,2432,764.0
2207,597.0,690,2718,1266.0
2665,598.0,2951,1795,2227.0
1007,599.0,1691,3531,743.0
2178,600.0,3299,1332,911.0
1144,601.0,124,3965,64.0
2712,602.0,2189,3007,2425.0
851,603.0,3203,4574,677.0
2733,604.0,4541,3879,356.0
1445,605.0,2892,2517,1014.0
437,606.0,2881,1103,623.0
628,607.0,2088,4193,2031.0
659,608.0,3583,3611,2500.0
1599,609.0,4117,4210,1480.0
1735,610.0,3973,1906,1125.0
1694,611.0,1906,3381,2545.0
2837,612.0,3338,50,2813.0
2619,613.0,1361,2962,881.0
335,614.0,1268,3715,177.0
2614,615.0,2375,1774,1748.0
1457,616.0,3607,1577,2234.0
2332,617.0,1574,1997,1515.0
2369,618.0,3003,4436,121.0
831,619.0,3250,1369,2789.0
688,620.0,627,151,644.0
1479,621.0,3573,4869,2706.0
2033,622.0,4840,4529,58.0
2138,623.0,1636,1702,936.0
110,624.0,463,1138,768.0
124,625.0,2457,2802,917.0
192,626.0,1351,687,1012.0
1461,627.0,4780,3263,1382.0
2592,628.0,1843,4061,1208.0
185,629.0,478,3395,2107.0
443,630.0,3028,3055,2482.0
1328,631.0,3691,3185,2431.0
1895,632.0,936,2100,1374.0
2275,633.0,2704,1156,647.0
749,634.0,4836,2952,2028.0
2233,635.0,1355,2417,317.0
1531,636.0,4835,1224,787.0
1262,637.0,4811,4354,2655.0
1152,638.0,4463,284,2699.0
2805,639.0,4566,1935,1963.0
1224,640.0,1580,4300,219.0
191,641.0,3082,1247,2428.0
2568,642.0,520,11,258.0
2175,643.0,404,1528,476.0
236,644.0,3043,2391,2713.0
1549,645.0,2204,4221,1918.0
63,646.0,4669,1470,1129.0
1661,647.0,1383,3746,2170.0
229,648.0,2781,2039,1938.0
2481,649.0,3882,2044,424.0
1322,650.0,1571,2133,2138.0
528,651.0,2029,314,202.0
343,652.0,933,2735,390.0
2214,653.0,3136,4809,869.0
406,654.0,4590,1201,729.0
1573,655.0,1044,2245,495.0
1351,656.0,2806,4695,1913.0
1433,657.0,2162,4017,2549.0
376,658.0,3327,2313,1299.0
477,659.0,2641,2991,2165.0
2867,660.0,1259,1642,2205.0
1715,661.0,2591,2090,1944.0
2236,662.0,2387,2411,184.0
1040,663.0,1349,2165,1996.0
2371,664.0,636,3287,515.0
766,665.0,1780,3002,1161.0
594,666.0,75,1683,281.0
215,667.0,3107,4108,1463.0
424,668.0,2360,3409,168.0
422,669.0,1331,2547,1636.0
967,670.0,612,2795,201.0
1027,671.0,2551,4114,32.0
2654,672.0,598,81,2787.0
1045,673.0,1138,4825,665.0
2637,674.0,2755,992,1599.0
105,675.0,2560,3848,1456.0
2757,676.0,649,3803,2647.0
233,677.0,2699,4052,932.0
1909,678.0,2416,4640,2556.0
2004,679.0,556,1302,878.0
901,680.0,1833,2228,954.0
2140,681.0,1711,1077,629.0
2612,682.0,3507,2586,1257.0
2489,683.0,4206,869,160.0
705,684.0,963,2617,2118.0
2383,685.0,461,1937,2215.0
826,686.0,293,475,1438.0
2254,687.0,4166,1695,2669.0
604,688.0,1230,3467,2068.0
539,689.0,4756,3744,1414.0
1925,690.0,126,240,681.0
1792,691.0,3297,1217,2178.0
2356,692.0,3752,3422,503.0
2009,693.0,1159,579,1135.0
1979,694.0,1829,4451,1836.0
1520,695.0,1296,794,1193.0
1414,696.0,3705,3609,2848.0
286,697.0,79,4254,1603.0
847,698.0,484,2927,1988.0
1017,699.0,4677,2260,1303.0
1682,700.0,852,4136,842.0
2064,701.0,706,4357,2512.0
1754,702.0,3408,3557,1004.0
1054,703.0,2886,3602,2294.0
731,704.0,1402,635,1068.0
2217,705.0,4784,2803,1366.0
2424,706.0,3333,4643,1345.0
550,707.0,4729,1657,598.0
2844,708.0,4232,4767,1731.0
379,709.0,4404,2988,2318.0
953,710.0,2684,2545,436.0
1162,711.0,1345,2052,675.0
1626,712.0,169,3138,1991.0
632,713.0,3722,1861,2374.0
1836,714.0,2528,4072,946.0
1010,715.0,4357,1920,763.0
339,716.0,2757,3278,1838.0
812,717.0,1433,4513,441.0
142,718.0,666,785,2697.0
1990,719.0,1686,1638,1680.0
717,720.0,691,3376,460.0
2465,721.0,1297,688,2468.0
727,722.0,2475,4784,785.0
2378,723.0,2878,4255,286.0
1308,724.0,2425,597,2334.0
690,725.0,110,304,257.0
2029,726.0,592,1166,2860.0
997,727.0,4013,3907,1337.0
189,728.0,2954,1921,550.0
1009,729.0,2320,2965,905.0
2494,730.0,2543,1993,709.0
1186,731.0,739,1535,316.0
84,732.0,4842,3236,2768.0
1087,733.0,2221,4720,1175.0
1587,734.0,795,2762,8.0
656,735.0,4417,4234,2308.0
1055,736.0,438,3104,872.0
1564,737.0,249,2462,826.0
2372,738.0,3511,1092,1625.0
1971,739.0,3183,1209,270.0
525,740.0,3093,3337,1189.0
1236,741.0,2696,4733,2689.0
499,742.0,755,3639,2487.0
2851,743.0,1969,1027,2760.0
560,744.0,2246,1522,1286.0
2816,745.0,2111,281,61.0
2463,746.0,367,859,2264.0
391,747.0,97,1891,2810.0
563,748.0,3131,4511,858.0
127,749.0,1401,4741,114.0
1349,750.0,1735,1830,740.0
2382,751.0,610,503,1985.0
674,752.0,3742,2819,1504.0
2539,753.0,2415,1637,1503.0
304,754.0,2312,2724,2159.0
930,755.0,2727,1288,799.0
874,756.0,2665,3461,1206.0
804,757.0,1224,2917,1771.0
2286,758.0,3331,4620,1051.0
1793,759.0,2613,1349,669.0
64,760.0,4499,70,1711.0
2370,761.0,1214,3956,703.0
2338,762.0,2477,2,422.0
181,763.0,1197,3823,1762.0
309,764.0,2439,370,190.0
2005,765.0,3270,2655,1806.0
1503,766.0,3733,1755,429.0
888,767.0,328,924,1871.0
1325,768.0,1294,113,1264.0
2519,769.0,2226,2161,634.0
1312,770.0,1404,2208,960.0
2120,771.0,4163,2076,2754.0
1505,772.0,4282,4206,2236.0
886,773.0,721,120,547.0
2068,774.0,3898,2840,1606.0
159,775.0,740,2244,2202.0
2297,776.0,1106,2694,929.0
2717,777.0,3213,4047,144.0
